Order ID,Order Date,City,Customer Name,State,Region
OD1,8/11/2021,Gwalior,Harish,Madhya Pradesh,East
OD2,8/12/2021,Gwalior,Sudha,Madhya Pradesh,South
OD3,8/13/2021,Gwalior,Hussain,Madhya Pradesh,West
OD4,8/14/2021,Gwalior,Jackson,Madhya Pradesh,South
OD5,8/15/2021,Gwalior,Ridhesh,Madhya Pradesh,South
OD6,8/16/2021,Gwalior,Adavan,Madhya Pradesh,West
OD7,8/17/2021,Gwalior,Jonas,Madhya Pradesh,West
OD8,8/18/2021,Gwalior,Hafiz,Madhya Pradesh,West
OD9,8/19/2021,Gwalior,Hafiz,Madhya Pradesh,West
OD10,8/20/2021,Gwalior,Krithika,Madhya Pradesh,West
OD11,8/21/2021,Gwalior,Ganesh,Madhya Pradesh,West
OD12,8/22/2021,Gwalior,Yadav,Madhya Pradesh,West
OD13,8/23/2021,Gwalior,Sharon,Madhya Pradesh,South
OD14,8/24/2021,Gwalior,Peer,Madhya Pradesh,West
OD15,8/25/2021,Gwalior,Sundar,Madhya Pradesh,Central
OD16,8/26/2021,Gwalior,Ramesh,Madhya Pradesh,Central
OD17,8/27/2021,Gwalior,Alan,Madhya Pradesh,Central
OD18,8/28/2021,Gwalior,Arutra,Madhya Pradesh,West
OD19,8/29/2021,Gwalior,Haseena,Madhya Pradesh,West
OD20,8/30/2021,Gwalior,Verma,Madhya Pradesh,West
OD21,8/31/2021,Gwalior,Hafiz,Madhya Pradesh,West
OD22,9/1/2021,Gwalior,Alan,Madhya Pradesh,Central
OD23,9/2/2021,Gwalior,Haseena,Madhya Pradesh,Central
OD24,9/3/2021,Gwalior,Alan,Madhya Pradesh,East
OD25,9/4/2021,Gwalior,Sharon,Madhya Pradesh,West
OD26,9/5/2021,Gwalior,Krithika,Madhya Pradesh,West
OD27,9/6/2021,Gwalior,Muneer,Madhya Pradesh,West
OD28,9/7/2021,Gwalior,Jackson,Madhya Pradesh,East
OD29,9/8/2021,Gwalior,Veronica,Madhya Pradesh,East
OD30,9/9/2021,Gwalior,Shah,Madhya Pradesh,East
OD31,9/10/2021,Gwalior,Ramesh,Madhya Pradesh,East
OD32,9/11/2021,Gwalior,Mathew,Madhya Pradesh,East
OD33,9/12/2021,Gwalior,Akash,Madhya Pradesh,East
OD34,9/13/2021,Gwalior,Anu,Madhya Pradesh,East
OD35,9/14/2021,Gwalior,Anu,Madhya Pradesh,Central
OD36,9/15/2021,Gwalior,Sabeela,Madhya Pradesh,Central
OD37,9/16/2021,Gwalior,James,Madhya Pradesh,Central
OD38,9/17/2021,Gwalior,Willams,Madhya Pradesh,Central
OD39,9/18/2021,Gwalior,Jonas,Madhya Pradesh,Central
OD40,9/19/2021,Gwalior,Sabeela,Madhya Pradesh,Central
OD41,9/20/2021,Gwalior,Malik,Madhya Pradesh,Central
OD42,9/21/2021,Gwalior,Arutra,Madhya Pradesh,Central
OD43,9/22/2021,Gwalior,Sharon,Madhya Pradesh,West
OD44,9/23/2021,Gwalior,Mathew,Madhya Pradesh,South
OD45,9/24/2021,Gwalior,Amrish,Madhya Pradesh,Central
OD46,9/25/2021,Gwalior,Vince,Madhya Pradesh,Central
OD47,9/26/2021,Gwalior,Suresh,Madhya Pradesh,Central
OD48,9/27/2021,Gwalior,Mathew,Madhya Pradesh,East
OD49,9/28/2021,Gwalior,Ridhesh,Madhya Pradesh,East
OD50,9/29/2021,Gwalior,Amrish,Madhya Pradesh,Central
OD51,9/30/2021,Gwalior,Esther,Madhya Pradesh,Central
OD52,10/1/2021,Gwalior,Shah,Madhya Pradesh,Central
OD53,10/2/2021,Gwalior,Sudha,Madhya Pradesh,Central
OD54,10/3/2021,Gwalior,Yusuf,Madhya Pradesh,East
OD55,10/4/2021,Gwalior,Esther,Madhya Pradesh,East
OD56,10/5/2021,Gwalior,Muneer,Madhya Pradesh,East
OD57,10/6/2021,Gwalior,Komal,Madhya Pradesh,East
OD58,10/7/2021,Gwalior,Veena,Madhya Pradesh,East
OD59,10/8/2021,Gwalior,Sharon,Madhya Pradesh,East
OD60,10/9/2021,Gwalior,Shree,Madhya Pradesh,East
OD61,10/10/2021,Gwalior,Roshan,Madhya Pradesh,East
OD62,10/11/2021,Gwalior,Willams,Madhya Pradesh,East
OD63,10/12/2021,Gwalior,Sudeep,Madhya Pradesh,West
OD64,10/13/2021,Gwalior,Yusuf,Madhya Pradesh,West
OD65,10/14/2021,Gwalior,Willams,Madhya Pradesh,West
OD66,10/15/2021,Gwalior,Muneer,Madhya Pradesh,West
OD67,10/16/2021,Gwalior,Vinne,Madhya Pradesh,Central
OD68,10/17/2021,Gwalior,Roshan,Madhya Pradesh,West
OD69,10/18/2021,Gwalior,Ramesh,Madhya Pradesh,West
OD70,10/19/2021,Gwalior,Peer,Madhya Pradesh,South
OD71,10/20/2021,Gwalior,Verma,Madhya Pradesh,East
OD72,10/21/2021,Gwalior,Yusuf,Madhya Pradesh,Central
OD73,10/22/2021,Gwalior,Alan,Madhya Pradesh,South
OD74,10/23/2021,Gwalior,Vidya,Madhya Pradesh,South
OD75,10/24/2021,Gwalior,Arvind,Madhya Pradesh,South
OD76,10/25/2021,Gwalior,Veronica,Madhya Pradesh,Central
OD77,10/26/2021,Gwalior,Arvind,Madhya Pradesh,Central
OD78,10/27/2021,Gwalior,Anu,Madhya Pradesh,Central
OD79,10/28/2021,Gwalior,Haseena,Madhya Pradesh,Central
OD80,10/29/2021,Gwalior,Veena,Madhya Pradesh,South
OD81,10/30/2021,Gwalior,Kumar,Madhya Pradesh,South
OD82,10/31/2021,Gwalior,Amy,Madhya Pradesh,West
OD83,11/1/2021,Gwalior,Komal,Madhya Pradesh,West
OD84,11/2/2021,Gwalior,Ravi,Madhya Pradesh,South
OD85,11/3/2021,Gwalior,Amy,Madhya Pradesh,Central
OD86,11/4/2021,Gwalior,Willams,Madhya Pradesh,South
OD87,11/5/2021,Gwalior,Sharon,Madhya Pradesh,Central
OD88,11/6/2021,Gwalior,Ramesh,Madhya Pradesh,Central
OD89,11/7/2021,Gwalior,Sheeba,Madhya Pradesh,Central
OD90,11/8/2021,Gwalior,Krithika,Madhya Pradesh,West
